AssemblyConfigName,Component,ConfigName,FeatureName,FeatureType,DimFullName,Value_mm,Value_in,Tolerance_Type,IsDriven,IsLinked,IsGlobalVar,EquationOrComment
Default,G2FujaraTop-1,CNC_Flue1,Sketch1,ProfileFeature,blank_length@Sketch1@G2FujaraTop.Part,1803.4000,71.0000,N/A,TRUE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch1,ProfileFeature,blank_width@Sketch1@G2FujaraTop.Part,57.1500,2.2500,N/A,TRUE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,wood block,Extrusion,thickness@wood block@G2FujaraTop.Part,28.5750,1.1250,N/A,TRUE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,wood block,Extrusion,blank_length@Sketch1@G2FujaraTop.Part,1803.4000,71.0000,N/A,TRUE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,wood block,Extrusion,blank_width@Sketch1@G2FujaraTop.Part,57.1500,2.2500,N/A,TRUE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch1,ProfileFeature,blank_length@Sketch1@G2FujaraTop.Part,1803.4000,71.0000,N/A,TRUE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch1,ProfileFeature,blank_width@Sketch1@G2FujaraTop.Part,57.1500,2.2500,N/A,TRUE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch2,ProfileFeature,bore_inner_radius@Sketch2@G2FujaraTop.Part,15.8750,0.6250,N/A,TRUE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch2,ProfileFeature,finished_length@Sketch2@G2FujaraTop.Part,1755.7750,69.1250,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Inner Bore,RevCut,D1@Inner Bore@G2FujaraTop.Part,6283.1853,247.3695,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Inner Bore,RevCut,bore_inner_radius@Sketch2@G2FujaraTop.Part,15.8750,0.6250,N/A,TRUE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Inner Bore,RevCut,finished_length@Sketch2@G2FujaraTop.Part,1755.7750,69.1250,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch2,ProfileFeature,bore_inner_radius@Sketch2@G2FujaraTop.Part,15.8750,0.6250,N/A,TRUE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch2,ProfileFeature,finished_length@Sketch2@G2FujaraTop.Part,1755.7750,69.1250,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch12,ProfileFeature,flange_depth@Sketch12@G2FujaraTop.Part,10.5410,0.4150,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch12,ProfileFeature,finished_length@Sketch12@G2FujaraTop.Part,1755.7750,69.1250,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch12,ProfileFeature,flange_OD@Sketch12@G2FujaraTop.Part,19.6850,0.7750,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Cut-Revolve1,RevCut,D1@Cut-Revolve1@G2FujaraTop.Part,6283.1853,247.3695,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Cut-Revolve1,RevCut,flange_depth@Sketch12@G2FujaraTop.Part,10.5410,0.4150,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Cut-Revolve1,RevCut,finished_length@Sketch12@G2FujaraTop.Part,1755.7750,69.1250,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Cut-Revolve1,RevCut,flange_OD@Sketch12@G2FujaraTop.Part,19.6850,0.7750,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch12,ProfileFeature,flange_depth@Sketch12@G2FujaraTop.Part,10.5410,0.4150,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch12,ProfileFeature,finished_length@Sketch12@G2FujaraTop.Part,1755.7750,69.1250,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch12,ProfileFeature,flange_OD@Sketch12@G2FujaraTop.Part,19.6850,0.7750,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Boss-Extrude1,ICE,D1@Boss-Extrude1@G2FujaraTop.Part,53.9750,2.1250,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Fillet3,Fillet,D1@Fillet3@G2FujaraTop.Part,3.1750,0.1250,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch5,ProfileFeature,fipple_gap@Sketch5@G2FujaraTop.Part,10.1600,0.4000,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch5,ProfileFeature,fipple_ramp@Sketch5@G2FujaraTop.Part,349.0659,13.7428,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch5,ProfileFeature,gap_beginning@Sketch5@G2FujaraTop.Part,53.9750,2.1250,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch5,ProfileFeature,flue_dam@Sketch5@G2FujaraTop.Part,392.6991,15.4606,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch5,ProfileFeature,flue_depth@Sketch5@G2FujaraTop.Part,12.1285,0.4775,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,fipple,ICE,fipple_width@fipple@G2FujaraTop.Part,12.7000,0.5000,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,fipple,ICE,fipple_gap@Sketch5@G2FujaraTop.Part,10.1600,0.4000,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,fipple,ICE,fipple_ramp@Sketch5@G2FujaraTop.Part,349.0659,13.7428,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,fipple,ICE,gap_beginning@Sketch5@G2FujaraTop.Part,53.9750,2.1250,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,fipple,ICE,flue_dam@Sketch5@G2FujaraTop.Part,392.6991,15.4606,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,fipple,ICE,flue_depth@Sketch5@G2FujaraTop.Part,12.1285,0.4775,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch5,ProfileFeature,fipple_gap@Sketch5@G2FujaraTop.Part,10.1600,0.4000,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch5,ProfileFeature,fipple_ramp@Sketch5@G2FujaraTop.Part,349.0659,13.7428,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch5,ProfileFeature,gap_beginning@Sketch5@G2FujaraTop.Part,53.9750,2.1250,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch5,ProfileFeature,flue_dam@Sketch5@G2FujaraTop.Part,392.6991,15.4606,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch5,ProfileFeature,flue_depth@Sketch5@G2FujaraTop.Part,12.1285,0.4775,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch3,ProfileFeature,hole3_diameter@Sketch3@G2FujaraTop.Part,7.6200,0.3000,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch3,ProfileFeature,hole2_diameter@Sketch3@G2FujaraTop.Part,7.6200,0.3000,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch3,ProfileFeature,hole1_diameter@Sketch3@G2FujaraTop.Part,7.6200,0.3000,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch3,ProfileFeature,fipple_to_hole1@Sketch3@G2FujaraTop.Part,1157.2240,45.5600,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch3,ProfileFeature,fipple_to_hole2@Sketch3@G2FujaraTop.Part,1242.3140,48.9100,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,Sketch3,ProfileFeature,fipple_to_hole3@Sketch3@G2FujaraTop.Part,1412.4940,55.6100,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,finger holes,ICE,depth@finger holes@G2FujaraTop.Part,25.4000,1.0000,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,finger holes,ICE,hole3_diameter@Sketch3@G2FujaraTop.Part,7.6200,0.3000,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,finger holes,ICE,hole2_diameter@Sketch3@G2FujaraTop.Part,7.6200,0.3000,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,finger holes,ICE,hole1_diameter@Sketch3@G2FujaraTop.Part,7.6200,0.3000,N/A,FALSE,FALSE,FALSE,
Default,G2FujaraTop-1,CNC_Flue1,finger holes,ICE,fipple_to_hole1@Sketch3@G2FujaraTop.Part,1157.2240,45.5600,N/A,FALSE,FALSE,FALSE,
