Component,ConfigName,FeatureName,FeatureType,DimFullName,Value_mm,Value_in,Tolerance_Type,IsDriven,IsLinked,IsGlobalVar,EquationOrComment
G2FujaraFlue-1,Default,Sketch1,ProfileFeature,flue_block_diameter@Sketch1@G2FujaraFlue.Part,31.7500,1.2500,N/A,FALSE,FALSE,FALSE,
G2FujaraFlue-1,Default,cylinder,Extrusion,height@cylinder@G2FujaraFlue.Part,53.9750,2.1250,N/A,FALSE,FALSE,FALSE,
G2FujaraFlue-1,Default,cylinder,Extrusion,flue_block_diameter@Sketch1@G2FujaraFlue.Part,31.7500,1.2500,N/A,FALSE,FALSE,FALSE,
G2FujaraFlue-1,Default,Sketch1,ProfileFeature,flue_block_diameter@Sketch1@G2FujaraFlue.Part,31.7500,1.2500,N/A,FALSE,FALSE,FALSE,
G2FujaraFlue-1,Default,Sketch2,ProfileFeature,flue_engagement@Sketch2@G2FujaraFlue.Part,3.8862,0.1530,N/A,FALSE,FALSE,FALSE,
G2FujaraFlue-1,Default,Sketch2,ProfileFeature,flue_width@Sketch2@G2FujaraFlue.Part,12.7000,0.5000,N/A,FALSE,FALSE,FALSE,
G2FujaraFlue-1,Default,flue track,ICE,D1@flue track@G2FujaraFlue.Part,76.2000,3.0000,N/A,FALSE,FALSE,FALSE,
G2FujaraFlue-1,Default,flue track,ICE,flue_engagement@Sketch2@G2FujaraFlue.Part,3.8862,0.1530,N/A,FALSE,FALSE,FALSE,
G2FujaraFlue-1,Default,flue track,ICE,flue_width@Sketch2@G2FujaraFlue.Part,12.7000,0.5000,N/A,FALSE,FALSE,FALSE,
G2FujaraFlue-1,Default,Sketch2,ProfileFeature,flue_engagement@Sketch2@G2FujaraFlue.Part,3.8862,0.1530,N/A,FALSE,FALSE,FALSE,
G2FujaraFlue-1,Default,Sketch2,ProfileFeature,flue_width@Sketch2@G2FujaraFlue.Part,12.7000,0.5000,N/A,FALSE,FALSE,FALSE,
G2FujaraFlue-1,Default,Sketch3,ProfileFeature,duct_diameter@Sketch3@G2FujaraFlue.Part,12.7000,0.5000,N/A,FALSE,FALSE,FALSE,
G2FujaraFlue-1,Default,Sketch3,ProfileFeature,duct_location@Sketch3@G2FujaraFlue.Part,22.2250,0.8750,N/A,FALSE,FALSE,FALSE,
G2FujaraFlue-1,Default,air duct,ICE,duct_diameter@Sketch3@G2FujaraFlue.Part,12.7000,0.5000,N/A,FALSE,FALSE,FALSE,
G2FujaraFlue-1,Default,air duct,ICE,duct_location@Sketch3@G2FujaraFlue.Part,22.2250,0.8750,N/A,FALSE,FALSE,FALSE,
G2FujaraFlue-1,Default,Sketch3,ProfileFeature,duct_diameter@Sketch3@G2FujaraFlue.Part,12.7000,0.5000,N/A,FALSE,FALSE,FALSE,
G2FujaraFlue-1,Default,Sketch3,ProfileFeature,duct_location@Sketch3@G2FujaraFlue.Part,22.2250,0.8750,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch1,ProfileFeature,blank_length@Sketch1@G2FujaraTop.Part,1803.4000,71.0000,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch1,ProfileFeature,blank_width@Sketch1@G2FujaraTop.Part,57.1500,2.2500,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,wood block,Extrusion,board_thickness@wood block@G2FujaraTop.Part,28.5750,1.1250,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,wood block,Extrusion,blank_length@Sketch1@G2FujaraTop.Part,1803.4000,71.0000,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,wood block,Extrusion,blank_width@Sketch1@G2FujaraTop.Part,57.1500,2.2500,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch1,ProfileFeature,blank_length@Sketch1@G2FujaraTop.Part,1803.4000,71.0000,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch1,ProfileFeature,blank_width@Sketch1@G2FujaraTop.Part,57.1500,2.2500,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch2,ProfileFeature,extralength@Sketch2@G2FujaraTop.Part,31.7500,1.2500,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch2,ProfileFeature,bore_inner_radius@Sketch2@G2FujaraTop.Part,15.8750,0.6250,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Inner Bore,RevCut,D1@Inner Bore@G2FujaraTop.Part,6283.1853,247.3695,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Inner Bore,RevCut,extralength@Sketch2@G2FujaraTop.Part,31.7500,1.2500,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Inner Bore,RevCut,bore_inner_radius@Sketch2@G2FujaraTop.Part,15.8750,0.6250,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch2,ProfileFeature,extralength@Sketch2@G2FujaraTop.Part,31.7500,1.2500,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch2,ProfileFeature,bore_inner_radius@Sketch2@G2FujaraTop.Part,15.8750,0.6250,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch5,ProfileFeature,fipple_gap@Sketch5@G2FujaraTop.Part,10.1600,0.4000,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch5,ProfileFeature,fipple_ramp@Sketch5@G2FujaraTop.Part,349.0659,13.7428,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch5,ProfileFeature,D2@Sketch5@G2FujaraTop.Part,53.9750,2.1250,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch5,ProfileFeature,flue_dam@Sketch5@G2FujaraTop.Part,392.6991,15.4606,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch5,ProfileFeature,flue_depth@Sketch5@G2FujaraTop.Part,12.1285,0.4775,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,fipple,ICE,fipple_width@fipple@G2FujaraTop.Part,12.7000,0.5000,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,fipple,ICE,fipple_gap@Sketch5@G2FujaraTop.Part,10.1600,0.4000,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,fipple,ICE,fipple_ramp@Sketch5@G2FujaraTop.Part,349.0659,13.7428,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,fipple,ICE,D2@Sketch5@G2FujaraTop.Part,53.9750,2.1250,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,fipple,ICE,flue_dam@Sketch5@G2FujaraTop.Part,392.6991,15.4606,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,fipple,ICE,flue_depth@Sketch5@G2FujaraTop.Part,12.1285,0.4775,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch5,ProfileFeature,fipple_gap@Sketch5@G2FujaraTop.Part,10.1600,0.4000,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch5,ProfileFeature,fipple_ramp@Sketch5@G2FujaraTop.Part,349.0659,13.7428,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch5,ProfileFeature,D2@Sketch5@G2FujaraTop.Part,53.9750,2.1250,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch5,ProfileFeature,flue_dam@Sketch5@G2FujaraTop.Part,392.6991,15.4606,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch5,ProfileFeature,flue_depth@Sketch5@G2FujaraTop.Part,12.1285,0.4775,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch3,ProfileFeature,hole3_diameter@Sketch3@G2FujaraTop.Part,7.6200,0.3000,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch3,ProfileFeature,hole2_diameter@Sketch3@G2FujaraTop.Part,7.6200,0.3000,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch3,ProfileFeature,hole1_diameter@Sketch3@G2FujaraTop.Part,7.6200,0.3000,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch3,ProfileFeature,fipple_to_hole1@Sketch3@G2FujaraTop.Part,1157.2240,45.5600,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch3,ProfileFeature,fipple_to_hole2@Sketch3@G2FujaraTop.Part,1242.3140,48.9100,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,Sketch3,ProfileFeature,fipple_to_hole3@Sketch3@G2FujaraTop.Part,1412.4940,55.6100,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,finger holes,ICE,D1@finger holes@G2FujaraTop.Part,22.8600,0.9000,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,finger holes,ICE,hole3_diameter@Sketch3@G2FujaraTop.Part,7.6200,0.3000,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,finger holes,ICE,hole2_diameter@Sketch3@G2FujaraTop.Part,7.6200,0.3000,N/A,FALSE,FALSE,FALSE,
G2FujaraTop-1,Default,finger holes,ICE,hole1_diameter@Sketch3@G2FujaraTop.Part,7.6200,0.3000,N/A,FALSE,FALSE,FALSE,
