"Case","FrequencyHz","MainBoreDiameterIn","SideBranchDiameterIn","SideBranchLengthIn","MainAdjacentLengthIn","LabiumPhaseOffsetIn","ShuntFraction","PhaseTerm","Perturbation","MainImpedanceReal","MainImpedanceImag","SideImpedanceReal","SideImpedanceImag"
"A2-1.25in-bore",73,1.25,0.19,4,54,0.5,0.0009086281533749789,0.9997116082015366,0.0009420093018183479,0,-147910.81720721928,0,162932672.28186592
"A2-1.25in-bore",98,1.25,0.19,4,54,0.5,0.005576379649897046,0.9994802962617104,0.005779906828418979,0,-669590.5809737579,0,120745809.0260576
"A2-1.25in-bore",122,1.25,0.19,4,54,0.5,0.10911347578323011,0.9991946549756799,0.11306358703984484,0,-9481140.755983988,0,96373622.98998103
"A2-1.25in-bore",147,1.25,0.19,4,54,0.5,0.009998661702374805,0.9988309198307886,0.010356860334343606,0,801178.9307136952,0,79327437.73439513
"A2-1.25in-bore",196,1.25,0.19,4,54,0.5,0.00225871570840978,0.9979222654147438,0.002337505018762828,0,-131293.45948845719,0,58258776.70123411
"A2-1.25in-bore",220,1.25,0.19,4,54,0.5,0.01181879511600851,0.9973827509523107,0.012224449881514683,0,-598573.2975196048,0,51244454.84840965
"A2-1.25in-bore",294,1.25,0.19,4,54,0.5,0.0062850292269541865,0.9953291463169227,0.006487364359302005,0,230511.46651821997,0,36445764.521132044
"A2-1.25in-bore",349,1.25,0.19,4,54,0.5,0.027137752770049286,0.9934222817760063,0.027957738956099033,0,-771121.3558964374,0,29186199.141831953
"A2-1.25in-bore",440,1.25,0.19,4,54,0.5,0.0034829132969055564,0.989558403779553,0.0035741959789806067,0,-71640.49445905234,0,20640769.94212643
"A2-1.19in-bore",73,1.19,0.2,4.5,54,1,0.0012482169628970003,0.9988467654854638,0.0012987265375143315,0,-162821.8429035899,0,130606364.70719454
"A2-1.19in-bore",98,1.19,0.2,4.5,54,1,0.007689468735988207,0.9979222654147438,0.007993220896722083,0,-737565.3119262669,0,96656456.10269287
"A2-1.19in-bore",122,1.19,0.2,4.5,54,1,0.15387581189651778,0.996781214225153,0.1597713735646794,0,-10270152.877066525,0,77013280.016329
"A2-1.19in-bore",147,1.19,0.2,4.5,54,1,0.013820686157097006,0.9953291463169227,0.01432930391068487,0,886390.7776746198,0,63248686.71407877
"A2-1.19in-bore",196,1.19,0.2,4.5,54,1,0.0031251764030951635,0.9917063295830029,0.003228392937513454,0,-143861.98000785525,0,46177097.052874416
"A2-1.19in-bore",220,1.19,0.2,4.5,54,1,0.0165287945843036,0.989558403779553,0.01703771623462874,0,-658003.8668238783,0,40467553.405829266
"A2-1.19in-bore",294,1.19,0.2,4.5,54,1,0.008954595110906655,0.9814038527642059,0.009154243897695117,0,256039.00962177778,0,28336991.322919272
"A2-1.19in-bore",349,1.19,0.2,4.5,54,1,0.03938744417199045,0.9738621926121626,0.03995619035700392,0,-845507.6717955214,0,22311934.081782956
"A2-1.19in-bore",440,1.19,0.2,4.5,54,1,0.005119229131555232,0.9586697228447353,0.005112135388257032,0,-76885.34734934567,0,15095816.005369676
"A2-1.31in-bore",73,1.31,0.18,3.5,54,0.25,0.000650832032678573,0.9999278968515201,0.0006718753636930297,0,-134986.00237817195,0,207540269.70149446
"A2-1.31in-bore",98,1.31,0.18,3.5,54,0.25,0.0039815958122507746,0.9998700571802912,0.004110094863145694,0,-610691.7172420719,0,153989323.3109023
"A2-1.31in-bore",122,1.31,0.18,3.5,54,0.25,0.0769596766619879,0.999798623191301,0.07943774011686303,0,-8796246.626110032,0,123093070.7245758
"A2-1.31in-bore",147,1.31,0.18,3.5,54,0.25,0.007115195602797088,0.9997076444859505,0.007343633066003622,0,727509.4174835879,0,101519773.45378326
"A2-1.31in-bore",196,1.31,0.18,3.5,54,0.25,0.0016088993106340682,0.9994802962617104,0.0016601763175993491,0,-120371.94016829114,0,74936700.9501251
"A2-1.31in-bore",220,1.31,0.18,3.5,54,0.25,0.008342058498799038,0.9993452590523692,0.008606764094292835,0,-547029.2979235605,0,66121886.870825194
"A2-1.31in-bore",294,1.31,0.18,3.5,54,0.25,0.004357293801811146,0.9988309198307886,0.004493243287296448,0,208482.4370842933,0,47638288.188673325
"A2-1.31in-bore",349,1.31,0.18,3.5,54,0.25,0.018611603844251798,0.998352857365142,0.019183108225956834,0,-706541.7708802542,0,38668975.14270758
"A2-1.31in-bore",440,1.31,0.18,3.5,54,0.25,0.002376272666623213,0.9973827509523107,0.0024468606543640086,0,-67013.75342713826,0,28268219.098421376
